,,,,,,,,,,,,Frequency,vm(vout),ph(v(vout))
Frequency (Hz),Channel 1 Magnitude (V),Channel 2 Magnitude (V),Channel 2 Phase (deg),,,,,Frequency,vm(vout),ph(v(vout)),,Hz,Volts,deg
46.77351413,0.100266347,0.149885491,-1.669615086,,,,,,,,,46.77351413,0.149885491,-1.669615086
47.86300923,0.100281088,0.149856669,-1.708432935,,,,,,,,,47.86300923,0.149856669,-1.708432935
48.97788194,0.100291733,0.149842155,-1.752347613,,,,,,,,,48.97788194,0.149842155,-1.752347613
50.11872336,0.100282538,0.149867654,-1.792990478,,,,,,,,,50.11872336,0.149867654,-1.792990478
51.2861384,0.100259601,0.149882561,-1.822563339,,,,,,,,,51.2861384,0.149882561,-1.822563339
52.48074602,0.100291296,0.149832651,-1.871464109,,,,,,,,,52.48074602,0.149832651,-1.871464109
53.70317964,0.100279167,0.149847515,-1.919474847,,,,,,,,,53.70317964,0.149847515,-1.919474847
54.95408739,0.100304382,0.149843477,-1.96639417,,,,,,,,,54.95408739,0.149843477,-1.96639417
56.23413252,0.100263046,0.149849079,-1.986577323,,,,,,,,,56.23413252,0.149849079,-1.986577323
57.54399373,0.100259945,0.149833858,-2.03712031,,,,,,,,,57.54399373,0.149833858,-2.03712031
58.88436554,0.100313816,0.149829198,-2.096845918,,,,,,,,,58.88436554,0.149829198,-2.096845918
60.25595861,0.100288971,0.149823812,-2.14504069,,,,,,,,,60.25595861,0.149823812,-2.14504069
61.65950019,0.100280349,0.149814675,-2.192035327,,,,,,,,,61.65950019,0.149814675,-2.192035327
63.09573445,0.100324606,0.149756209,-2.241998707,,,,,,,,,63.09573445,0.149756209,-2.241998707
64.5654229,0.100282387,0.149841466,-2.314542181,,,,,,,,,64.5654229,0.149841466,-2.314542181
66.0693448,0.10026664,0.149785702,-2.355636189,,,,,,,,,66.0693448,0.149785702,-2.355636189
67.60829754,0.100314129,0.149775954,-2.399189559,,,,,,,,,67.60829754,0.149775954,-2.399189559
69.18309709,0.100277193,0.149772629,-2.462733596,,,,,,,,,69.18309709,0.149772629,-2.462733596
70.79457844,0.10023498,0.149830966,-2.521555629,,,,,,,,,70.79457844,0.149830966,-2.521555629
72.44359601,0.100267791,0.149785607,-2.580374112,,,,,,,,,72.44359601,0.149785607,-2.580374112
74.13102413,0.100267679,0.149781697,-2.64802321,,,,,,,,,74.13102413,0.149781697,-2.64802321
75.8577575,0.100290956,0.149746105,-2.695834142,,,,,,,,,75.8577575,0.149746105,-2.695834142
77.62471166,0.100253094,0.149780326,-2.777767697,,,,,,,,,77.62471166,0.149780326,-2.777767697
79.43282347,0.100277754,0.149747517,-2.812286195,,,,,,,,,79.43282347,0.149747517,-2.812286195
81.28305162,0.100273495,0.149740249,-2.866409527,,,,,,,,,81.28305162,0.149740249,-2.866409527
83.17637711,0.100287334,0.149724373,-2.952290792,,,,,,,,,83.17637711,0.149724373,-2.952290792
85.11380382,0.100251087,0.149730047,-3.018717924,,,,,,,,,85.11380382,0.149730047,-3.018717924
87.096359,0.100323452,0.149640684,-3.117188489,,,,,,,,,87.096359,0.149640684,-3.117188489
89.12509381,0.100274137,0.14968855,-3.167038179,,,,,,,,,89.12509381,0.14968855,-3.167038179
91.20108394,0.100264515,0.149682326,-3.258387095,,,,,,,,,91.20108394,0.149682326,-3.258387095
93.32543008,0.100281733,0.149655561,-3.308098244,,,,,,,,,93.32543008,0.149655561,-3.308098244
95.4992586,0.100268415,0.149642768,-3.402600028,,,,,,,,,95.4992586,0.149642768,-3.402600028
97.7237221,0.100269548,0.149650252,-3.470273939,,,,,,,,,97.7237221,0.149650252,-3.470273939
100,0.100264889,0.149630135,-3.569631774,,,,,,,,,100,0.149630135,-3.569631774
102.3292992,0.100274771,0.149616145,-3.633213833,,,,,,,,,102.3292992,0.149616145,-3.633213833
104.7128548,0.100271166,0.149605777,-3.717670897,,,,,,,,,104.7128548,0.149605777,-3.717670897
107.1519305,0.100331464,0.149523374,-3.832717858,,,,,,,,,107.1519305,0.149523374,-3.832717858
109.6478196,0.100280768,0.149567401,-3.902592165,,,,,,,,,109.6478196,0.149567401,-3.902592165
112.2018454,0.100255618,0.149575402,-3.993732652,,,,,,,,,112.2018454,0.149575402,-3.993732652
114.8153621,0.100294464,0.149513137,-4.065139425,,,,,,,,,114.8153621,0.149513137,-4.065139425
117.4897555,0.10025607,0.149523374,-4.185978886,,,,,,,,,117.4897555,0.149523374,-4.185978886
120.2264435,0.100330034,0.149411421,-4.275801662,,,,,,,,,120.2264435,0.149411421,-4.275801662
123.0268771,0.100299204,0.14946514,-4.389414858,,,,,,,,,123.0268771,0.14946514,-4.389414858
125.8925412,0.100276348,0.149446466,-4.469029014,,,,,,,,,125.8925412,0.149446466,-4.469029014
128.8249552,0.1002549,0.149433228,-4.597569513,,,,,,,,,128.8249552,0.149433228,-4.597569513
131.8256739,0.100289031,0.149391921,-4.690604505,,,,,,,,,131.8256739,0.149391921,-4.690604505
134.8962883,0.100303861,0.149332318,-4.760055115,,,,,,,,,134.8962883,0.149332318,-4.760055115
138.0384265,0.100264332,0.149355932,-4.908379672,,,,,,,,,138.0384265,0.149355932,-4.908379672
141.2537545,0.100290457,0.149314792,-4.980629763,,,,,,,,,141.2537545,0.149314792,-4.980629763
144.5439771,0.100280367,0.149290618,-5.122023511,,,,,,,,,144.5439771,0.149290618,-5.122023511
147.9108388,0.100297752,0.149235124,-5.258595153,,,,,,,,,147.9108388,0.149235124,-5.258595153
151.3561248,0.100263335,0.149250609,-5.371684119,,,,,,,,,151.3561248,0.149250609,-5.371684119
