time	V(vo)
1.142490898487202e-004	5.538264e-001
1.142888439054524e-004	5.304132e-001
1.143298267137330e-004	5.050651e-001
1.143763767300159e-004	5.090687e-001
1.143908454052182e-004	5.529922e-001
1.143987509162951e-004	6.195480e-001
1.144106336189477e-004	7.713113e-001
1.144226574648391e-004	9.357756e-001
1.144360294737445e-004	1.089595e+000
1.144470485541180e-004	1.176005e+000
1.144585844678249e-004	1.236455e+000
1.144711756181148e-004	1.293957e+000
1.144817238714447e-004	1.342735e+000
1.144872698062400e-004	1.365442e+000
1.144940947313918e-004	1.385864e+000
1.145003166447598e-004	1.398422e+000
1.145069495651144e-004	1.407380e+000
1.145134385221821e-004	1.413418e+000
1.145224018443993e-004	1.419034e+000
1.145332256765629e-004	1.423404e+000
1.145461318494450e-004	1.426406e+000
1.145621818339958e-004	1.428191e+000
1.145803221150473e-004	1.428682e+000
1.146026116467511e-004	1.428005e+000
1.146258585969979e-004	1.426399e+000
1.146534909900241e-004	1.423772e+000
1.146795587390849e-004	1.420877e+000
1.147086537028912e-004	1.417380e+000
1.147359033067472e-004	1.414008e+000
1.147703310645549e-004	1.409758e+000
1.148023521035800e-004	1.405923e+000
1.148474663506688e-004	1.400785e+000
1.148957076873199e-004	1.395667e+000
1.149624882385438e-004	1.389167e+000
1.150366342014622e-004	1.382590e+000
1.151382813380780e-004	1.374335e+000
1.152493529099377e-004	1.365940e+000
1.154336580651694e-004	1.352679e+000
1.156015759537698e-004	1.340909e+000
1.159374117309705e-004	1.317707e+000
1.163552071804677e-004	1.289133e+000
1.171907980794620e-004	1.232947e+000
1.188619798774506e-004	1.123592e+000
1.209731293655661e-004	9.907116e-001
1.231977787133844e-004	8.568756e-001
1.255997303552114e-004	7.169366e-001
1.257187366455391e-004	7.100271e-001
1.259567492261946e-004	6.959729e-001
1.264327743875056e-004	6.669163e-001
1.268319104956462e-004	6.409971e-001
1.270300789346062e-004	6.269803e-001
1.270796210443462e-004	6.230884e-001
1.271787052638262e-004	6.141999e-001
1.273207141428432e-004	5.990191e-001
1.273996041900796e-004	5.879907e-001
1.274500111356117e-004	5.779661e-001
