Freq.	V(vo)	V(vo1)	V(vo2)	Ib(Q3)
7.43510538726017e+002	(2.33838242905811e+001dB,1.73145997699347e+002°)	(-4.66481584542613e+001dB,-3.61130089728633e+000°)	(2.33842072905728e+001dB,1.73146519466644e+002°)	(-1.52230210028707e+002dB,1.41282185084790e-001°)
7.60655690884097e+002	(2.33809459201431e+001dB,1.72989496565765e+002°)	(-4.66503859210983e+001dB,-3.69319236716968e+000°)	(2.33813289201871e+001dB,1.72990030364873e+002°)	(-1.52230208499903e+002dB,1.44539866119506e-001°)
7.78196205619051e+002	(2.33779353048769e+001dB,1.72829494951363e+002°)	(-4.66527152846052e+001dB,-3.77687560011252e+000°)	(2.33783183083435e+001dB,1.72830041059731e+002°)	(-1.52230206900349e+002dB,1.47872651179992e-001°)
7.96141199885091e+002	(2.33747864820508e+001dB,1.72665919641527e+002°)	(-4.66551512803029e+001dB,-3.86238517011807e+000°)	(2.33751694855748e+001dB,1.72666478343003e+002°)	(-1.52230205226440e+002dB,1.51282270973521e-001°)
8.14500000870932e+002	(2.33714932062518e+001dB,1.72498696255251e+002°)	(-4.66576985997405e+001dB,-3.94975608121506e+000°)	(2.33718762098357e+001dB,1.72499267840230e+002°)	(-1.52230203474956e+002dB,1.54770496014576e-001°)
8.33282150847739e+002	(2.33680489606455e+001dB,1.72327749243214e+002°)	(-4.66603621400556e+001dB,-4.03902366143881e+000°)	(2.33684319676602e+001dB,1.72328334008785e+002°)	(-1.52230201642355e+002dB,1.58339137581394e-001°)
8.52497412128872e+002	(2.33644469675521e+001dB,1.72153001887158e+002°)	(-4.66631472477842e+001dB,-4.13022344451886e+000°)	(2.33648299746324e+001dB,1.72153600137261e+002°)	(-1.52230199724849e+002dB,1.61990048652800e-001°)
8.72155772144002e+002	(2.33606801269446e+001dB,1.71974376334315e+002°)	(-4.66660591723217e+001dB,-4.22339135805346e+000°)	(2.33610631374615e+001dB,1.71974988379899e+002°)	(-1.52230197718580e+002dB,1.65725124828155e-001°)
8.92267448630227e+002	(2.33567410623742e+001dB,1.71791793585504e+002°)	(-4.66691037088557e+001dB,-4.31856344386011e+000°)	(2.33571240729632e+001dB,1.71792419744690e+002°)	(-1.52230195619309e+002dB,1.69546305286649e-001°)
9.12842894942904e+002	(2.33526220515244e+001dB,1.71605173539387e+002°)	(-4.66722865711841e+001dB,-4.41577608151320e+000°)	(2.33530050655565e+001dB,1.71605814137629e+002°)	(-1.52230193422969e+002dB,1.73455573816905e-001°)
9.33892805488941e+002	(2.33483150714948e+001dB,1.71414434985220e+002°)	(-4.66756140373365e+001dB,-4.51506569010035e+000°)	(2.33486980856058e+001dB,1.71415090355481e+002°)	(-1.52230191124928e+002dB,1.77454959830150e-001°)
9.55428121285379e+002	(2.33438117286029e+001dB,1.71219495654793e+002°)	(-4.66790923205150e+001dB,-4.61646895837847e+000°)	(2.33441947461643e+001dB,1.71220166137709e+002°)	(-1.52230188720582e+002dB,1.81546539509922e-001°)
9.77460035646155e+002	(2.33391033029298e+001dB,1.71020272220743e+002°)	(-4.66827282151465e+001dB,-4.72002252757331e+000°)	(2.33394863205776e+001dB,1.71020958164809e+002°)	(-1.52230186205143e+002dB,1.85732436739942e-001°)
1.00000000000000e+003	(2.33341806777240e+001dB,1.70816680356780e+002°)	(-4.66865284736645e+001dB,-4.82576322443051e+000°)	(2.33345636988300e+001dB,1.70817382118524e+002°)	(-1.52230183573403e+002dB,1.90014824208023e-001°)
1.02305972984251e+003	(2.33290343827123e+001dB,1.70608634742984e+002°)	(-4.66905004419109e+001dB,-4.93372772874396e+000°)	(2.33294174039130e+001dB,1.70609352687158e+002°)	(-1.52230180819985e+002dB,1.94395924496981e-001°)
1.04665121082543e+003	(2.33236545232735e+001dB,1.70396049135209e+002°)	(-4.66946514444737e+001dB,-5.04395280770652e+000°)	(2.33240375479411e+001dB,1.70396783634975e+002°)	(-1.52230177939558e+002dB,1.98878011512949e-001°)
1.07078670498640e+003	(2.33180308160374e+001dB,1.70178836381829e+002°)	(-4.66989893439899e+001dB,-5.15647499988979e+000°)	(2.33184138441766e+001dB,1.70179587818953e+002°)	(-1.52230174926008e+002dB,2.03463411127124e-001°)
1.09547875712234e+003	(2.33121525527518e+001dB,1.69956908483653e+002°)	(-4.67035223127848e+001dB,-5.27133066094612e+000°)	(2.33125355809994e+001dB,1.69957677248707e+002°)	(-1.52230171773534e+002dB,2.08154502991036e-001°)
1.12074020130978e+003	(2.33060085712354e+001dB,1.69730176656038e+002°)	(-4.67082586867539e+001dB,-5.38855597743142e+000°)	(2.33063915995966e+001dB,1.69730963148598e+002°)	(-1.52230168475675e+002dB,2.12953721256159e-001°)
1.14658416757563e+003	(2.32995872472270e+001dB,1.69498551384592e+002°)	(-4.67132070513148e+001dB,-5.50818686260699e+000°)	(2.32999702824429e+001dB,1.69499356013448e+002°)	(-1.52230165025795e+002dB,2.17863556050674e-001°)
1.17302408872162e+003	(2.32928765220237e+001dB,1.69261942463056e+002°)	(-4.67183767318574e+001dB,-5.63025862006289e+000°)	(2.32932595607318e+001dB,1.69262765646426e+002°)	(-1.52230161416953e+002dB,2.22886554769599e-001°)
1.20007370730629e+003	(2.32858638222961e+001dB,1.69020259103427e+002°)	(-4.67237770848108e+001dB,-5.75480623849851e+000°)	(2.32862468645023e+001dB,1.69021101269173e+002°)	(-1.52230157641959e+002dB,2.28025323192791e-001°)
1.22774708278787e+003	(2.32785360801167e+001dB,1.68773409991239e+002°)	(-4.67294179074809e+001dB,-5.88186409262109e+000°)	(2.32789191258271e+001dB,1.68774271577089e+002°)	(-1.52230153693209e+002dB,2.33282527127138e-001°)
1.25605859883189e+003	(2.32708797097054e+001dB,1.68521303373765e+002°)	(-4.67353093669579e+001dB,-6.01146588992342e+000°)	(2.32712627589263e+001dB,1.68522184827539e+002°)	(-1.52230149562879e+002dB,2.38660893584608e-001°)
1.28502297078731e+003	(2.32628805913271e+001dB,1.68263847150738e+002°)	(-4.67414620107280e+001dB,-6.14364456809050e+000°)	(2.32632636440651e+001dB,1.68264748930585e+002°)	(-1.52230145242712e+002dB,2.44163212190031e-001°)
