v1	Ic(Q1)	Ic(Q2)
2.260000000000004e-001	1.818166e-004	5.578370e-007
2.270000000000004e-001	1.818317e-004	5.438076e-007
2.280000000000004e-001	1.818466e-004	5.301314e-007
2.290000000000004e-001	1.818610e-004	5.167996e-007
2.300000000000004e-001	1.818751e-004	5.038035e-007
2.310000000000004e-001	1.818889e-004	4.911348e-007
2.320000000000004e-001	1.819024e-004	4.787851e-007
2.330000000000004e-001	1.819155e-004	4.667467e-007
2.340000000000004e-001	1.819283e-004	4.550117e-007
2.350000000000004e-001	1.819408e-004	4.435723e-007
2.360000000000004e-001	1.819530e-004	4.324214e-007
2.370000000000004e-001	1.819649e-004	4.215515e-007
2.380000000000004e-001	1.819765e-004	4.109557e-007
2.390000000000004e-001	1.819879e-004	4.006270e-007
2.400000000000004e-001	1.819989e-004	3.905589e-007
2.410000000000004e-001	1.820098e-004	3.807446e-007
2.420000000000004e-001	1.820203e-004	3.711779e-007
2.430000000000004e-001	1.820306e-004	3.618526e-007
2.440000000000004e-001	1.820406e-004	3.527625e-007
2.450000000000004e-001	1.820505e-004	3.439018e-007
2.460000000000004e-001	1.820600e-004	3.352646e-007
2.470000000000004e-001	1.820694e-004	3.268455e-007
2.480000000000004e-001	1.820785e-004	3.186388e-007
2.490000000000004e-001	1.820874e-004	3.106393e-007
2.500000000000000e-001	1.820961e-004	3.028418e-007
