Freq.	V(v0)
4.50262052296131e+004	(3.64711776538554e+000dB,-7.62391648411587e+001°)
4.60644973580413e+004	(3.46012962273666e+000dB,-7.65397186478743e+001°)
4.71267322224487e+004	(3.27267599730485e+000dB,-7.68342708412437e+001°)
4.82134619358586e+004	(3.08477546524732e+000dB,-7.71229128385073e+001°)
4.93252513428716e+004	(2.89644594959225e+000dB,-7.74057366481547e+001°)
5.04626783132520e+004	(2.70770473576316e+000dB,-7.76828347153338e+001°)
5.16263340422851e+004	(2.51856848760670e+000dB,-7.79542997832562e+001°)
5.28168233580593e+004	(2.32905326336241e+000dB,-7.82202247562392e+001°)
5.40347650358356e+004	(2.13917453178586e+000dB,-7.84807025714909e+001°)
5.52807921196654e+004	(1.94894718852377e+000dB,-7.87358260848184e+001°)
5.65555522514248e+004	(1.75838557243914e+000dB,-7.89856879625911e+001°)
5.78597080074365e+004	(1.56750348184432e+000dB,-7.92303805794272e+001°)
5.91939372428544e+004	(1.37631419064298e+000dB,-7.94699959227742e+001°)
6.05589334439890e+004	(1.18483046451900e+000dB,-7.97046255103003e+001°)
6.19554060887579e+004	(9.93064576860038e-001dB,-7.99343603106405e+001°)
6.33840810154475e+004	(8.01028324252811e-001dB,-8.01592906617160e+001°)
6.48457007999794e+004	(6.08733042407111e-001dB,-8.03795062187435e+001°)
6.63410251418751e+004	(4.16189621065907e-001dB,-8.05950958800269e+001°)
6.78708312591218e+004	(2.23408519212713e-001dB,-8.08061477389820e+001°)
6.94359142921437e+004	(3.03997796541027e-002dB,-8.10127490285965e+001°)
7.10370877170881e+004	(-1.62826956367431e-001dB,-8.12149860837481e+001°)
7.26751837686427e+004	(-3.56262435283334e-001dB,-8.14129442919674e+001°)
7.43510538726023e+004	(-5.49897777282278e-001dB,-8.16067080626790e+001°)
7.60655690884103e+004	(-7.43724462919068e-001dB,-8.17963607927044e+001°)
7.78196205619057e+004	(-9.37734319994024e-001dB,-8.19819848386861e+001°)
7.96141199885098e+004	(-1.13191951075201e+000dB,-8.21636614942048e+001°)
8.14500000870939e+004	(-1.32627251955448e+000dB,-8.23414709648426e+001°)
8.33282150847746e+004	(-1.52078614079148e+000dB,-8.25154923511395e+001°)
8.52497412128879e+004	(-1.71545346712245e+000dB,-8.26858036357789e+001°)
8.72155772144009e+004	(-1.91026787813525e+000dB,-8.28524816705296e+001°)
8.92267448630234e+004	(-2.10522302940655e+000dB,-8.30156021626161e+001°)
9.12842894942912e+004	(-2.30031284173162e+000dB,-8.31752396726060e+001°)
9.33892805488949e+004	(-2.49553149085994e+000dB,-8.33314676061832e+001°)
9.55428121285386e+004	(-2.69087339749312e+000dB,-8.34843582116079e+001°)
9.77460035646163e+004	(-2.88633321764816e+000dB,-8.36339825775621e+001°)
1.00000000000000e+005	(-3.08190583328097e+000dB,-8.37804106362122e+001°)
